chromosome	db	type	end5	end3	strand	gene_id	gene_id_up	strand_up	gene_id_down	strand_down
VII	StringTie	transcript	836112	836381	-	MSTRG.314	YGR169C	-	YGR169C-A	-
VII	StringTie	transcript	875400	875933	-	MSTRG.315	YGR188C	-	tK(CUU)G3	+
VII	StringTie	transcript	878412	880037	+	MSTRG.316	YGR189C	-	YGR190C	-
VII	StringTie	transcript	894219	894501	-	MSTRG.317	YGR197C	-	YGR198W	+
VII	StringTie	transcript	942597	944894	-	MSTRG.318	YGR223C	-	YGR225W	+
VII	StringTie	transcript	958553	959534	-	MSTRG.319	YGR233C	-	YGR234W	+
VII	StringTie	transcript	968826	969184	+	MSTRG.320	YGR238C	-	YGR239C	-
VII	StringTie	transcript	973826	974870	+	MSTRG.321	YGR240C	-	YGR241C	-
VII	StringTie	transcript	990103	990842	+	MSTRG.322	YGR249W	+	YGR250C	-
VII	StringTie	transcript	993787	994060	-	MSTRG.323	YGR250C	-	NA	NA
VII	StringTie	transcript	994228	995316	+	MSTRG.324	YGR250C	-	YGR251W	+
VII	StringTie	transcript	996280	996574	+	MSTRG.325	YGR251W	+	YGR252W	+
VII	StringTie	transcript	999515	1000471	-	MSTRG.326	YGR253C	-	YGR254W	+
VII	StringTie	transcript	1052389	1052725	-	MSTRG.327	YGR280C	-	YGR281W	+
VII	StringTie	transcript	1066064	1067190	+	MSTRG.328	YGR286C	-	YGR287C	-
VII	StringTie	transcript	1069749	1069988	-	MSTRG.329	YGR287C	-	YGR288W	+
VII	StringTie	transcript	1072341	1072553	-	MSTRG.330	YGR288W	+	YGR289C	-
VII	StringTie	transcript	1072641	1073172	+	MSTRG.331	YGR288W	+	YGR289C	-
VII	StringTie	transcript	1078615	1080055	+	MSTRG.332	YGR292W	+	YGR294W	+
VII	StringTie	transcript	1080754	1081341	-	MSTRG.333	YGR294W	+	YGR295C	-
VII	StringTie	transcript	1082872	1088869	+	MSTRG.334	YGR295C	-	YGR296C-A	-
VIII	StringTie	transcript	10630	11659	-	MSTRG.335	YHL046W-A	+	YHL046C	-
VIII	StringTie	transcript	12837	13356	-	MSTRG.336	YHL045W	+	YHL044W	+
VIII	StringTie	transcript	16429	17273	+	MSTRG.337	YHL042W	+	YHL041W	+
VIII	StringTie	transcript	18452	18883	+	MSTRG.338	YHL041W	+	YHL040C	-
VIII	StringTie	transcript	74579	75022	-	MSTRG.339	YHL016C	-	YHL015W	+
VIII	StringTie	transcript	98450	98981	+	MSTRG.340	YHL006C	-	YHL004W	+
VIII	StringTie	transcript	121816	122468	+	MSTRG.341	YHR007C	-	YHR007C-A	-
VIII	StringTie	transcript	150775	151077	-	MSTRG.342	YHR022C	-	YHR022C-A	-
VIII	StringTie	transcript	194884	195252	-	MSTRG.343	YHR044C	-	YHR045W	+
VIII	StringTie	transcript	201484	204444	+	MSTRG.344	YHR047C	-	YHR048W	+
VIII	StringTie	transcript	238234	238828	-	MSTRG.345	tF(GAA)H1	-	YHR071C-A	-
VIII	StringTie	transcript	241849	242206	-	MSTRG.346	YHR072W-A	+	YHR073W	+
VIII	StringTie	transcript	249725	250222	-	MSTRG.347	YHR075C	-	YHR076W	+
VIII	StringTie	transcript	262100	262404	+	MSTRG.348	YHR079C	-	YHR080C	-
VIII	StringTie	transcript	271690	272398	-	MSTRG.349	YHR082C	-	YHR083W	+
VIII	StringTie	transcript	273817	274068	-	MSTRG.350	YHR083W	+	YHR084W	+
VIII	StringTie	transcript	280365	280731	-	MSTRG.351	YHR086W-A	+	YHR087W	+
VIII	StringTie	transcript	289106	289801	-	MSTRG.352	YHR092C	-	YHR094C	-
VIII	StringTie	transcript	290034	290503	+	MSTRG.353	YHR093W	+	YHR094C	-
VIII	StringTie	transcript	293890	294616	+	MSTRG.354	YHR095W	+	YHR096C	-
VIII	StringTie	transcript	356131	358175	-	MSTRG.355	YHR123W	+	tF(GAA)H2	-
VIII	StringTie	transcript	364271	365024	+	MSTRG.356	YHR129C	-	YHR131C	-
VIII	StringTie	transcript	379640	379905	+	MSTRG.357	YHR139C	-	YHR139C-A	-
VIII	StringTie	transcript	464173	465285	-	MSTRG.358	YHR179W	+	NA	NA
VIII	StringTie	transcript	466132	466516	+	MSTRG.359	YHR180W	+	YHR180W-A	+
VIII	StringTie	transcript	483946	484586	-	MSTRG.360	YHR188C	-	YHR190W	+
VIII	StringTie	transcript	516665	517086	-	MSTRG.361	YHR207C	-	YHR208W	+
VIII	StringTie	transcript	522187	522552	+	MSTRG.362	YHR210C	-	NA	NA
VIII	StringTie	transcript	523052	523741	+	MSTRG.363	YHR210C	-	NA	NA
VIII	StringTie	transcript	529097	529340	-	MSTRG.364	YHR211W	+	NA	NA
VIII	StringTie	transcript	530731	535741	-	MSTRG.365	NA	NA	NA	NA
VIII	StringTie	transcript	549805	550738	+	MSTRG.366	YHR214C-C	-	YHR214C-E	-
VIII	StringTie	transcript	556209	556527	-	MSTRG.367	YHR216W	+	YHR217C	-
VIII	StringTie	transcript	557940	559574	-	MSTRG.368	YHR217C	-	YHR218W-A	+
X	StringTie	transcript	2459	6931	+	MSTRG.369	YJL225W-A	+	NA	NA
X	StringTie	transcript	19667	20305	-	MSTRG.370	YJL219W	+	NA	NA
X	StringTie	transcript	24469	24706	+	MSTRG.371	YJL216C	-	NA	NA
X	StringTie	transcript	25352	26886	+	MSTRG.372	YJL216C	-	YJL214W	+
X	StringTie	transcript	27026	31121	-	MSTRG.373	YJL214W	+	YJL213W	+
X	StringTie	transcript	31230	31577	+	MSTRG.374	NA	NA	YJL213W	+
X	StringTie	transcript	116019	117100	+	MSTRG.375	tE(UUC)J	-	YJL161W	+
X	StringTie	transcript	119540	120000	+	MSTRG.376	YJL160C	-	YJL159W	+
X	StringTie	transcript	126832	129050	+	MSTRG.377	YJL156W-A	+	YJL155C	-
X	StringTie	transcript	180522	181133	+	MSTRG.378	YJL127W-A	+	YJL127C-B	-
X	StringTie	transcript	220086	220664	-	MSTRG.379	YJL107C	-	YJL106W	+
X	StringTie	transcript	223820	224038	+	MSTRG.380	YJL106W	+	YJL105W	+
X	StringTie	transcript	224238	227079	-	MSTRG.381	YJL106W	+	YJL104W	+
X	StringTie	transcript	236757	237135	-	MSTRG.382	YJL101C	-	YJL100W	+
X	StringTie	transcript	278310	278801	-	MSTRG.383	YJL084C	-	YJL083W	+
X	StringTie	transcript	337467	337813	+	MSTRG.384	YJL053W	+	YJL052C-A	-
X	StringTie	transcript	375053	375841	+	MSTRG.385	tR(UCU)J2	-	YJL037W	+
X	StringTie	transcript	376189	376651	-	MSTRG.386	YJL038C	-	YJL037W	+
X	StringTie	transcript	415139	415429	+	MSTRG.387	tK(CUU)J	+	tW(CCA)J	-
X	StringTie	transcript	445246	445690	-	MSTRG.388	YJR004C	-	YJR005W	+
X	StringTie	transcript	460815	461579	-	MSTRG.389	YJR013W	+	YJR014W	+
X	StringTie	transcript	539479	540483	-	MSTRG.390	YJR055W	+	tD(GUC)J4	+
X	StringTie	transcript	619869	620613	+	MSTRG.391	YJR102C	-	YJR103W	+
X	StringTie	transcript	626960	628728	-	MSTRG.392	YJR106W	+	YJR109C	-
X	StringTie	transcript	639026	639383	-	MSTRG.393	YJR114W	+	YJR115W	+
X	StringTie	transcript	646571	649505	+	MSTRG.394	YJR119C	-	YJR122W	+
X	StringTie	transcript	709961	710423	+	MSTRG.395	YJR150C	-	NA	NA
X	StringTie	transcript	711280	711795	+	MSTRG.396	NA	NA	YJR151C	-
X	StringTie	transcript	716244	717580	-	MSTRG.397	YJR151C	-	YJR151W-A	+
X	StringTie	transcript	717832	719382	+	MSTRG.398	YJR151W-A	+	YJR152W	+
X	StringTie	transcript	721103	725480	-	MSTRG.399	YJR152W	+	YJR154W	+
X	StringTie	transcript	730569	734257	-	MSTRG.400	YJR157W	+	NA	NA
X	StringTie	transcript	734320	734620	+	MSTRG.401	YJR158W	+	YJR159W	+
X	StringTie	transcript	741784	742629	+	MSTRG.402	NA	NA	YJR161C	-
XI	StringTie	transcript	5988	7784	-	MSTRG.403	YKL222C	-	YKL220C	-
XI	StringTie	transcript	8127	8547	-	MSTRG.404	YKL221W	+	YKL220C	-
XI	StringTie	transcript	11396	14387	+	MSTRG.405	YKL220C	-	YKL219W	+
XI	StringTie	transcript	18110	21654	+	MSTRG.406	YKL218C	-	YKL217W	+
XI	StringTie	transcript	88711	89003	+	MSTRG.407	YKL188C	-	YKL187C	-
XI	StringTie	transcript	92029	92544	-	MSTRG.408	YKL187C	-	YKL186C	-
XI	StringTie	transcript	93858	94433	-	MSTRG.409	YKL186C	-	YKL185W	+
XI	StringTie	transcript	136369	137641	+	MSTRG.410	YKL165C-A	-	YKL165C	-
XI	StringTie	transcript	143046	144061	+	MSTRG.411	YKL164C	-	YKL163W	+
XI	StringTie	transcript	150607	152974	+	MSTRG.412	YKL161C	-	YKL160W	+
XI	StringTie	transcript	230296	230942	+	MSTRG.413	YKL110C	-	YKL109W	+
XI	StringTie	transcript	259961	260651	-	MSTRG.414	YKL096W-A	+	YKL096W	+
XI	StringTie	transcript	270789	271847	-	MSTRG.415	YKL091C	-	YKL090W	+
XI	StringTie	transcript	303225	304820	+	MSTRG.416	tW(CCA)K	+	YKL071W	+
XI	StringTie	transcript	306304	307069	-	MSTRG.417	YKL070W	+	YKL069W	+
XI	StringTie	transcript	308316	308767	-	MSTRG.418	tV(AAC)K1	-	YKL068W-A	+
XI	StringTie	transcript	322196	322910	-	MSTRG.419	YKL063C	-	YKL062W	+
XI	StringTie	transcript	355631	356238	-	MSTRG.420	YKL045W	+	YKL044W	+
XI	StringTie	transcript	368886	369120	-	MSTRG.421	YKL038W	+	YKL037W	+
XI	StringTie	transcript	378964	379667	+	MSTRG.422	YKL033W	+	tV(AAC)K2	+
XI	StringTie	transcript	462970	463384	-	MSTRG.423	YKR011C	-	YKR012C	-
XI	StringTie	transcript	466293	469424	+	MSTRG.424	YKR014C	-	YKR016W	+
XI	StringTie	transcript	514683	515036	-	MSTRG.425	tD(GUC)K	-	YKR039W	+
XI	StringTie	transcript	535972	536453	.	MSTRG.426	YKR054C	-	NA	NA
XI	StringTie	transcript	578471	578860	+	MSTRG.427	YKR073C	-	tK(UUU)K	+
XI	StringTie	transcript	581373	581688	-	MSTRG.428	YKR075W-A	+	YKR076W	+
XI	StringTie	transcript	619001	619331	+	MSTRG.429	YKR094C	-	YKR095W	+
XI	StringTie	transcript	630843	631059	-	MSTRG.430	YKR096W	+	YKR097W	+
XI	StringTie	transcript	642982	645878	+	MSTRG.431	YKR101W	+	YKR102W	+
XI	StringTie	transcript	649954	650431	-	MSTRG.432	YKR102W	+	NA	NA
XI	StringTie	transcript	650484	653056	+	MSTRG.433	YKR102W	+	YKR103W	+
XI	StringTie	transcript	658337	660601	+	MSTRG.434	YKR104W	+	YKR106W	+
XI	StringTie	transcript	661337	662544	-	MSTRG.435	YKR105C	-	NA	NA
XI	StringTie	transcript	663687	665353	+	MSTRG.436	YKR106W	+	NA	NA
XI	StringTie	transcript	665924	666314	-	MSTRG.437	NA	NA	NA	NA
XII	StringTie	transcript	8547	11548	+	MSTRG.438	NA	NA	YLL065W	+
XII	StringTie	transcript	28729	29647	-	MSTRG.439	YLL056C	-	YLL055W	+
XII	StringTie	transcript	49225	49646	-	MSTRG.440	YLL044W	+	YLL043W	+
XII	StringTie	transcript	92796	94447	+	MSTRG.441	tP(UGG)L	+	YLL025W	+
XII	StringTie	transcript	168452	168774	+	MSTRG.442	tS(AGA)L	-	YLR011W	+
XII	StringTie	transcript	193681	194106	+	MSTRG.443	YLR024C	-	YLR025W	+
XII	StringTie	transcript	219924	220288	-	MSTRG.444	YLR035C-A	-	YLR036C	-
XII	StringTie	transcript	222287	222673	+	MSTRG.445	YLR036C	-	YLR037C	-
XII	StringTie	transcript	223376	223673	-	MSTRG.446	YLR037C	-	YLR038C	-
XII	StringTie	transcript	224233	224681	+	MSTRG.447	YLR037C	-	YLR038C	-
XII	StringTie	transcript	230805	231256	+	MSTRG.448	YLR042C	-	YLR043C	-
XII	StringTie	transcript	253585	253804	-	MSTRG.449	YLR055C	-	YLR056W	+
XII	StringTie	transcript	274206	275242	+	MSTRG.450	YLR070C	-	YLR071C	-
XII	StringTie	transcript	315758	315977	-	MSTRG.451	YLR087C	-	YLR088W	+
XII	StringTie	transcript	323199	323524	-	MSTRG.452	YLR091W	+	YLR092W	+
XII	StringTie	transcript	392921	393200	-	MSTRG.453	YLR124W	+	YLR125W	+
XII	StringTie	transcript	394059	394584	+	MSTRG.454	YLR125W	+	YLR126C	-
XII	StringTie	transcript	449746	451207	+	MSTRG.455	tQ(UUG)L	-	ETS2-1	-
XII	StringTie	transcript	451417	451753	+	MSTRG.456	NA	NA	RDN37-1	-
XII	StringTie	transcript	458676	459675	.	MSTRG.457	ETS1-1	-	RDN5-1	+
XII	StringTie	transcript	460456	460656	-	MSTRG.458	RDN5-1	+	ETS2-2	-
XII	StringTie	transcript	467812	468812	+	MSTRG.459	ETS1-2	-	RDN5-2	+
XII	StringTie	transcript	489612	490492	-	MSTRG.460	YLR162W	+	YLR163C	-
XII	StringTie	transcript	490898	491779	+	MSTRG.461	YLR162W-A	+	YLR163C	-
XII	StringTie	transcript	498122	498806	-	MSTRG.462	YLR166C	-	YLR167W	+
XII	StringTie	transcript	542132	543574	+	MSTRG.463	YLR195C	-	YLR196W	+
XII	StringTie	transcript	566721	567744	+	MSTRG.464	YLR213C	-	YLR214W	+
XII	StringTie	transcript	603081	603712	-	MSTRG.465	YLR228C	-	YLR229C	-
XII	StringTie	transcript	614221	614692	-	MSTRG.466	YLR237W	+	YLR238W	+
XII	StringTie	transcript	665209	665492	-	MSTRG.467	YLR259C	-	YLR260W	+
XII	StringTie	transcript	673384	673991	+	MSTRG.468	YLR264W	+	YLR265C	-
XII	StringTie	transcript	682337	682628	-	MSTRG.469	YLR270W	+	YLR271W	+
XII	StringTie	transcript	789689	790404	-	MSTRG.470	YLR330W	+	YLR331C	-
XII	StringTie	transcript	791916	793472	-	MSTRG.471	YLR332W	+	tD(GUC)L2	+
XII	StringTie	transcript	807234	808642	-	MSTRG.472	YLR340W	+	YLR342W	+
XII	StringTie	transcript	809104	809392	+	MSTRG.473	YLR341W	+	YLR342W	+
XII	StringTie	transcript	854731	855171	+	MSTRG.474	YLR364W	+	YLR365W	+
XII	StringTie	transcript	1001830	1002149	-	MSTRG.475	YLR431C	-	YLR432W	+
XII	StringTie	transcript	1030039	1030600	-	MSTRG.476	YLR448W	+	YLR449W	+
XII	StringTie	transcript	1061664	1062659	+	MSTRG.477	YLR460C	-	YLR461W	+
XII	StringTie	transcript	1064947	1065236	.	MSTRG.478	NA	NA	YLR462W	+
XIII	StringTie	transcript	4783	6309	+	MSTRG.479	NA	NA	YML132W	+
XIII	StringTie	transcript	8848	9748	-	MSTRG.480	YML132W	+	YML131W	+
XIII	StringTie	transcript	13433	14287	+	MSTRG.481	YML130C	-	YML129C	-
XIII	StringTie	transcript	31782	32032	-	MSTRG.482	YML119W	+	YML118W	+
XIII	StringTie	transcript	45955	46665	-	MSTRG.483	YML112W	+	YML111W	+
XIII	StringTie	transcript	100129	101279	+	MSTRG.484	YML083C	-	YML082W	+
XIII	StringTie	transcript	119387	120085	-	MSTRG.485	YML075C	-	YML074C	-
XIII	StringTie	transcript	122150	122962	-	MSTRG.486	YML074C	-	YML073C	-
XIII	StringTie	transcript	140368	141681	+	MSTRG.487	YML067C	-	YML065W	+
XIII	StringTie	transcript	164444	164673	-	MSTRG.488	snR54	-	YML055W	+
XIII	StringTie	transcript	258683	259009	-	MSTRG.489	YML006C	-	tS(AGA)M	-
XIII	StringTie	transcript	259319	260026	-	MSTRG.490	tS(AGA)M	-	YML005W	+
XIII	StringTie	transcript	277750	279839	+	MSTRG.491	YMR006C	-	YMR007W	+
XIII	StringTie	transcript	306425	306654	-	MSTRG.492	YMR016C	-	YMR017W	+
XIII	StringTie	transcript	306855	307518	-	MSTRG.493	YMR016C	-	NA	NA
XIII	StringTie	transcript	309013	310070	+	MSTRG.494	YMR017W	+	YMR018W	+
XIII	StringTie	transcript	311637	312081	-	MSTRG.495	YMR018W	+	YMR019W	+
XIII	StringTie	transcript	336885	337518	-	MSTRG.496	YMR032W	+	YMR033W	+
XIII	StringTie	transcript	371277	372190	+	MSTRG.497	YMR049C	-	tV(AAC)M1	-
XIII	StringTie	transcript	433201	434565	-	MSTRG.498	YMR082C	-	YMR083W	+
XIII	StringTie	transcript	438843	439182	-	MSTRG.499	YMR085W	+	YMR086W	+
XIII	StringTie	transcript	464984	465610	+	MSTRG.500	YMR099C	-	YMR100W	+
XIII	StringTie	transcript	480803	481048	+	MSTRG.501	tK(CUU)M	-	NA	NA
XIII	StringTie	transcript	500987	502938	+	MSTRG.502	snR24	-	NA	NA
XIII	StringTie	transcript	512328	513463	+	MSTRG.503	YMR122W-A	+	YMR123W	+
XIII	StringTie	transcript	535954	537575	-	MSTRG.504	YMR132C	-	YMR134W	+
XIII	StringTie	transcript	545299	545715	-	MSTRG.505	YMR138W	+	YMR139W	+
XIII	StringTie	transcript	573439	573891	-	MSTRG.506	YMR158C-A	-	YMR158W-B	+
XIII	StringTie	transcript	592437	592854	+	MSTRG.507	YMR165C	-	YMR166C	-
XIII	StringTie	transcript	610368	611015	+	MSTRG.508	YMR174C	-	YMR175W	+
XIII	StringTie	transcript	675014	675430	+	MSTRG.509	YMR205C	-	YMR206W	+
XIII	StringTie	transcript	675602	675882	-	MSTRG.510	YMR205C	-	YMR206W	+
XIII	StringTie	transcript	683642	684386	-	MSTRG.511	YMR207C	-	YMR208W	+
XIII	StringTie	transcript	701267	701550	-	MSTRG.512	YMR216C	-	YMR217W	+
XIII	StringTie	transcript	731445	732135	+	MSTRG.513	YMR229C	-	YMR230W	+
XIII	StringTie	transcript	759051	759333	-	MSTRG.514	YMR245W	+	YMR246W	+
XIII	StringTie	transcript	769284	770496	-	MSTRG.515	YMR247W-A	+	YMR250W	+
XIII	StringTie	transcript	772664	774028	-	MSTRG.516	YMR250W	+	YMR251W-A	+
XIII	StringTie	transcript	801477	801749	-	MSTRG.517	YMR266W	+	YMR267W	+
XIII	StringTie	transcript	807743	808140	-	MSTRG.518	YMR271C	-	tQ(CUG)M	-
XIII	StringTie	transcript	809286	809567	+	MSTRG.519	tQ(CUG)M	-	YMR272C	-
XIII	StringTie	transcript	826477	826711	+	MSTRG.520	YMR279C	-	YMR280C	-
XIII	StringTie	transcript	831555	831997	-	MSTRG.521	YMR280C	-	YMR281W	+
XIII	StringTie	transcript	837079	837429	+	MSTRG.522	YMR283C	-	tY(GUA)M2	+
XIII	StringTie	transcript	851770	852191	-	MSTRG.523	YMR290W-A	+	YMR291W	+
XIII	StringTie	transcript	861190	861724	-	MSTRG.524	YMR296C	-	YMR297W	+
XIII	StringTie	transcript	880756	881013	-	MSTRG.525	YMR305C	-	YMR306W	+
XIII	StringTie	transcript	898025	898326	-	MSTRG.526	YMR311C	-	YMR312W	+
XIII	StringTie	transcript	906747	907286	-	MSTRG.527	YMR316C-A	-	YMR316C-B	-
XIV	StringTie	transcript	6796	7021	+	MSTRG.528	YNL338W	+	YNL337W	+
XIV	StringTie	transcript	65446	65716	-	MSTRG.529	YNL301C	-	YNL300W	+
XIV	StringTie	transcript	104302	104703	+	MSTRG.530	YNL284C	-	tT(AGU)N1	+
XIV	StringTie	transcript	106897	107289	+	MSTRG.531	YNL283C	-	YNL282W	+
XIV	StringTie	transcript	110612	112868	-	MSTRG.532	YNL280C	-	YNL278W	+
XIV	StringTie	transcript	205038	206753	-	MSTRG.533	YNL238W	+	YNL236W	+
XIV	StringTie	transcript	228952	229740	-	MSTRG.534	YNL223W	+	snR19	-
XIV	StringTie	transcript	250417	251773	-	MSTRG.535	YNL211C	-	YNL209W	+
XIV	StringTie	transcript	270246	270459	+	MSTRG.536	YNL197C	-	YNL195C	-
XIV	StringTie	transcript	301359	302301	-	MSTRG.537	YNL179C	-	YNL178W	+
XIV	StringTie	transcript	303442	303678	-	MSTRG.538	YNL178W	+	YNL177C	-
XIV	StringTie	transcript	321436	322310	+	MSTRG.539	YNL167C	-	NA	NA
XIV	StringTie	transcript	334967	336396	-	MSTRG.540	YNL161W	+	YNL160W	+
XIV	StringTie	transcript	355718	356830	+	MSTRG.541	NA	NA	YNL142W	+
XIV	StringTie	transcript	382921	383144	-	MSTRG.542	YNL128W	+	YNL127W	+
XIV	StringTie	transcript	405745	408066	-	MSTRG.543	YNL118C	-	YNL116W	+
XIV	StringTie	transcript	444878	445321	+	MSTRG.544	YNL096C	-	NA	NA
XIV	StringTie	transcript	446122	447033	+	MSTRG.545	YNL095C	-	YNL094W	+
XIV	StringTie	transcript	500820	501156	+	MSTRG.546	YNL067W	+	YNL066W	+
XIV	StringTie	transcript	525141	525828	+	MSTRG.547	YNL054W-B	+	YNL054W	+
XIV	StringTie	transcript	547519	547737	+	MSTRG.548	YNL042W-B	+	YNL042W	+
XIV	StringTie	transcript	570224	570469	-	MSTRG.549	tI(AAU)N1	-	YNL034W	+
XIV	StringTie	transcript	573164	573524	-	MSTRG.550	YNL033W	+	YNL032W	+
XIV	StringTie	transcript	581696	582062	-	MSTRG.551	YNL027W	+	NA	NA
XIV	StringTie	transcript	587898	588271	+	MSTRG.552	YNL024C	-	NA	NA
XIV	StringTie	transcript	597781	600822	+	MSTRG.553	YNL020C	-	YNL017C	-
XIV	StringTie	transcript	601650	602266	+	MSTRG.554	YNL018C	-	tI(AAU)N2	+
XIV	StringTie	transcript	609580	611493	-	MSTRG.555	YNL013C	-	YNL011C	-
XIV	StringTie	transcript	619750	620035	-	MSTRG.556	YNL007C	-	YNL006W	+
XIV	StringTie	transcript	623373	623730	-	MSTRG.557	YNL004W	+	YNL003C	-
XIV	StringTie	transcript	629062	629605	+	MSTRG.558	YNL001W	+	YNR001C	-
XIV	StringTie	transcript	691628	692065	-	MSTRG.559	YNR034W	+	YNR034W-A	+
XIV	StringTie	transcript	715657	716059	-	MSTRG.560	YNR050C	-	snR49	+
XIV	StringTie	transcript	718587	719073	-	MSTRG.561	YNR051C	-	YNR052C	-
XIV	StringTie	transcript	724491	726027	+	MSTRG.562	YNR054C	-	tL(UAA)N	-
XIV	StringTie	transcript	724517	726027	+	MSTRG.562	YNR054C	-	tL(UAA)N	-
XIV	StringTie	transcript	727875	728327	+	MSTRG.563	NA	NA	YNR055C	-
XIV	StringTie	transcript	735925	736478	+	MSTRG.564	YNR058W	+	YNR059W	+
XIV	StringTie	transcript	741439	742324	-	MSTRG.565	YNR060W	+	YNR061C	-
XIV	StringTie	transcript	742329	742542	+	MSTRG.566	YNR060W	+	YNR061C	-
XIV	StringTie	transcript	743793	746611	+	MSTRG.567	YNR061C	-	YNR063W	+
XIV	StringTie	transcript	762970	764004	+	MSTRG.568	YNR069C	-	YNR070W	+
XIV	StringTie	transcript	764430	770275	+	MSTRG.569	NA	NA	YNR071C	-
XIV	StringTie	transcript	771476	774508	-	MSTRG.570	YNR071C	-	YNR073C	-
XIV	StringTie	transcript	776391	776635	+	MSTRG.571	YNR073C	-	YNR074C	-
XIV	StringTie	transcript	776935	777223	+	MSTRG.572	YNR073C	-	YNR074C	-
XIV	StringTie	transcript	779266	779748	+	MSTRG.573	YNR074C	-	YNR075W	+
XV	StringTie	transcript	1898	2644	+	MSTRG.574	YOL165C	-	YOL164W-A	+
XV	StringTie	transcript	4232	5302	-	MSTRG.575	YOL164W-A	+	YOL164W	+
XV	StringTie	transcript	8294	9592	-	MSTRG.576	YOL164W	+	YOL163W	+
XV	StringTie	transcript	13021	13266	-	MSTRG.577	YOL161C	-	YOL160W	+
XV	StringTie	transcript	13767	14219	+	MSTRG.578	NA	NA	YOL160W	+
XV	StringTie	transcript	16101	16451	-	MSTRG.579	YOL159C-A	-	YOL159C	-
XV	StringTie	transcript	24786	28117	-	MSTRG.580	YOL157C	-	YOL155C	-
XV	StringTie	transcript	31359	33992	+	MSTRG.581	YOL155C	-	YOL154W	+
XV	StringTie	transcript	35447	40719	-	MSTRG.582	YOL154W	+	YOL152W	+
XV	StringTie	transcript	42886	43200	+	MSTRG.583	YOL152W	+	YOL151W	+
XV	StringTie	transcript	71120	72522	-	MSTRG.584	YOL133W	+	YOL131W	+
XV	StringTie	transcript	72864	73969	-	MSTRG.585	YOL132W	+	YOL130W	+
XV	StringTie	transcript	81539	82850	.	MSTRG.586	YOL127W	+	YOL125W	+
XV	StringTie	transcript	83255	83593	-	MSTRG.587	YOL126C	-	YOL125W	+
XV	StringTie	transcript	96657	97268	+	MSTRG.588	YOL118C	-	YOL117W	+
XV	StringTie	transcript	106446	106679	-	MSTRG.589	YOL113W	+	YOL112W	+
XV	StringTie	transcript	167525	168419	-	MSTRG.590	YOL083C-A	-	YOL082W	+
XV	StringTie	transcript	216643	217082	-	MSTRG.591	YOL060C	-	YOL059W	+
XV	StringTie	transcript	241574	242685	+	MSTRG.592	YOL048C	-	YOL046C	-
XV	StringTie	transcript	254037	254289	-	MSTRG.593	YOL040C	-	YOL039W	+
XV	StringTie	transcript	281703	282071	+	MSTRG.594	YOL022C	-	tG(GCC)O2	+
XV	StringTie	transcript	292237	292501	-	MSTRG.595	YOL018C	-	YOL017W	+
XV	StringTie	transcript	348674	349093	+	MSTRG.596	NA	NA	YOR011W	+
XV	StringTie	transcript	363832	364187	-	MSTRG.597	YOR017W	+	YOR018W	+
XV	StringTie	transcript	371039	371389	-	MSTRG.598	YOR020C	-	YOR020W-A	+
XV	StringTie	transcript	385261	386479	+	MSTRG.599	YOR029W	+	YOR030W	+
XV	StringTie	transcript	389079	389645	+	MSTRG.600	YOR030W	+	YOR032C	-
XV	StringTie	transcript	422691	424733	+	MSTRG.601	YOR049C	-	YOR051C	-
XV	StringTie	transcript	426281	426573	+	MSTRG.602	YOR051C	-	YOR052C	-
XV	StringTie	transcript	437332	437610	+	MSTRG.603	YOR058C	-	tK(UUU)O	+
XV	StringTie	transcript	443834	444310	-	MSTRG.604	YOR062C	-	YOR063W	+
XV	StringTie	transcript	458157	459453	+	MSTRG.605	YOR070C	-	YOR071C	-
XV	StringTie	transcript	462263	462500	-	MSTRG.606	YOR072W-A	+	NA	NA
XV	StringTie	transcript	504438	505504	+	MSTRG.607	YOR095C	-	YOR096W	+
XV	StringTie	transcript	546438	546849	-	MSTRG.608	YOR117W	+	YOR118W	+
XV	StringTie	transcript	550380	550687	-	MSTRG.609	YOR119C	-	YOR120W	+
XV	StringTie	transcript	571106	571957	+	MSTRG.610	YOR130C	-	tD(GUC)O	+
XV	StringTie	transcript	586584	586911	+	MSTRG.611	YOR138C	-	YOR139C	-
XV	StringTie	transcript	670653	670957	-	MSTRG.612	YOR178C	-	YOR179C	-
XV	StringTie	transcript	672608	674501	+	MSTRG.613	YOR179C	-	YOR181W	+
XV	StringTie	transcript	682376	682849	+	MSTRG.614	YOR185C	-	YOR186W	+
XV	StringTie	transcript	690032	692308	-	MSTRG.615	YOR189W	+	YOR191W	+
XV	StringTie	transcript	701008	702561	-	MSTRG.616	YOR192C	-	YOR192C-C	-
XV	StringTie	transcript	725188	725433	+	MSTRG.617	YOR204W	+	YOR205C	-
XV	StringTie	transcript	762320	762593	-	MSTRG.618	YOR226C	-	YOR227W	+
XV	StringTie	transcript	844716	844934	+	MSTRG.619	YOR279C	-	YOR280C	-
XV	StringTie	transcript	860909	861162	-	MSTRG.620	YOR290C	-	YOR291W	+
XV	StringTie	transcript	877857	878195	-	MSTRG.621	YOR298C-A	-	YOR299W	+
XV	StringTie	transcript	905823	906146	+	MSTRG.622	YOR315W	+	YOR316C	-
XV	StringTie	transcript	908380	909161	-	MSTRG.623	YOR316C-A	-	YOR317W	+
