# Program:featureCounts v2.0.6; Command:"featureCounts" "-t" "transcript" "-g" "gene_id" "-O" "-s" "2" "-R" "BAM" "-p" "--ignoreDup" "--fraction" "-G" "Saccharomyces_cerevisiae.R64-1-1.106.fa" "-T" "4" "-p" "--countReadPairs" "-a" "aymerge.no_LTR.NO_ref_genes.gtf" "-o" "read_counts_aymerge.txt" "./BAM/AY10_S10_L001.sorted.dedup.bam" "./BAM/AY11_S11_L001.sorted.dedup.bam" "./BAM/AY12_S12_L001.sorted.dedup.bam" "./BAM/AY1_S1_L001.sorted.dedup.bam" "./BAM/AY2_S2_L001.sorted.dedup.bam" "./BAM/AY31_S1_L001.sorted.dedup.bam" "./BAM/AY32_S2_L001.sorted.dedup.bam" "./BAM/AY33_S3_L001.sorted.dedup.bam" "./BAM/AY34_S4_L001.sorted.dedup.bam" "./BAM/AY35_S5_L001.sorted.dedup.bam" "./BAM/AY36_S6_L001.sorted.dedup.bam" "./BAM/AY37_S7_L001.sorted.dedup.bam" "./BAM/AY38_S8_L001.sorted.dedup.bam" "./BAM/AY39_S9_L001.sorted.dedup.bam" "./BAM/AY3_S3_L001.sorted.dedup.bam" "./BAM/AY40_S10_L001.sorted.dedup.bam" "./BAM/AY41_S11_L001.sorted.dedup.bam" "./BAM/AY42_S12_L001.sorted.dedup.bam" "./BAM/AY4_S4_L001.sorted.dedup.bam" "./BAM/AY5_S5_L001.sorted.dedup.bam" "./BAM/AY6_S6_L001.sorted.dedup.bam" "./BAM/AY7_S7_L001.sorted.dedup.bam" "./BAM/AY8_S8_L001.sorted.dedup.bam" "./BAM/AY9_S9_L001.sorted.dedup.bam" 
Geneid	Chr	Start	End	Strand	Length	./BAM/AY10_S10_L001.sorted.dedup.bam	./BAM/AY11_S11_L001.sorted.dedup.bam	./BAM/AY12_S12_L001.sorted.dedup.bam	./BAM/AY1_S1_L001.sorted.dedup.bam	./BAM/AY2_S2_L001.sorted.dedup.bam	./BAM/AY31_S1_L001.sorted.dedup.bam	./BAM/AY32_S2_L001.sorted.dedup.bam	./BAM/AY33_S3_L001.sorted.dedup.bam	./BAM/AY34_S4_L001.sorted.dedup.bam	./BAM/AY35_S5_L001.sorted.dedup.bam	./BAM/AY36_S6_L001.sorted.dedup.bam	./BAM/AY37_S7_L001.sorted.dedup.bam	./BAM/AY38_S8_L001.sorted.dedup.bam	./BAM/AY39_S9_L001.sorted.dedup.bam	./BAM/AY3_S3_L001.sorted.dedup.bam	./BAM/AY40_S10_L001.sorted.dedup.bam	./BAM/AY41_S11_L001.sorted.dedup.bam	./BAM/AY42_S12_L001.sorted.dedup.bam	./BAM/AY4_S4_L001.sorted.dedup.bam	./BAM/AY5_S5_L001.sorted.dedup.bam	./BAM/AY6_S6_L001.sorted.dedup.bam	./BAM/AY7_S7_L001.sorted.dedup.bam	./BAM/AY8_S8_L001.sorted.dedup.bam	./BAM/AY9_S9_L001.sorted.dedup.bam
MSTRG.158	IX	303120	303536	+	417	11	9	16	7	16	14	20	8	27	40	31	38	30	19	20	21	22	31	14	22	21	32	43	4
MSTRG.159	IX	337236	338199	-	964	22	19	22	15	50	29	29	31	33	40.50	29	44	32	41	21	26	41	26	13	37	19	39	32	14
MSTRG.160	IX	357109	357433	+	325	16	20	23	15	35	26	22	34	26	44	40	49	31	29	14	29	39	24	16	34	22	34	22	11
MSTRG.161	IX	386925	388792	+	1868	42	89	114.50	20	58	27	62	43	76	52	47	47	49	49	51	88	46	78	88.50	57	51	76	70	18
MSTRG.162	IX	406598	410775	+	4178	86	107	151	68	162	99	238	95	374	326	418	290	373	177	224	291	199	213	286	213	150	321	311	72
MSTRG.163	IX	424662	425761	-	1100	2	1	6	4	11	6	3	3	4	6	8	8	5	4	4	6	1	4	2	2	10	3	7	2
MSTRG.164	IX	426980	429577	-	2598	35	40	58	46	90	62	88	66	180	75	63	87	67	59	129	84	62	84	152	74	85	69	94	22
MSTRG.165	IX	432569	433471	+	903	1	8	12	1	3	5	10	3	8	17	24	9	19	5	5	14	5	5	8	19	14	33	35	2
MSTRG.166	IX	436386	438175	-	1790	41	31	45	48	110	67	83	66	93	122	86	97	81	91	71	81	104	57	53	67	59	65	91	22
MSTRG.167	IX	439119	439801	-	683	14	8	11	4	23	24	16	13	15	51	33	59	38	29	8	29	43	20	5	19	20	25	55	6
MSTRG.168	Mito	350	1110	+	761	18	23	22	20	41.50	21	17	32	46	65	92	63	78	42	23	49	32	36	25	57	64	96	158	17
MSTRG.169	Mito	8739	9113	+	375	2	3	0	3	5	4	7	5.50	3	7	16	3	3	6	3	7	4	2	4	5	4	6	22	2
MSTRG.170	Mito	10578	10910	+	333	88	87	103	57	181	136	144	175	168	361	424	297	398	182	60	189	157	166.50	98	269	220	365	761	98
MSTRG.171	Mito	12108	12893	+	786	5	8	12	9	15	15	20	19	15	31	47	32	60	19	9	24	10	16	15	25	28	48	82	6
MSTRG.172	Mito	31039	31882	+	844	19	15	12	13	27	24	22	21	21	66	49	50	50	27	14	31	30	15	16	31	40	51	111	14
MSTRG.173	Mito	32917	33673	+	757	45	53	50	19	69	59	46	55	54	110	87	76	81	61	39	51	46	39	45	120	122	129	285	29
MSTRG.174	Mito	34039	34565	+	527	2	3	10	3	3	6	3	7	3	14	10	9	11	7	7	3	2	2	3.50	5	11	9.50	21	1
MSTRG.175	Mito	34934	35181	+	248	3	3	4	2	9	1	2	4	2	4	1	3	2.50	3	3	1	2	1.50	3	7	7	12	27	5
MSTRG.176	Mito	35595	36335	+	741	80	93	103	91	194	122	105	121	133	249	179	184	190.50	153	62	124	119	120	109	200	179	192	319	56
MSTRG.177	Mito	43849	45184	+	1336	230	210	249	173	314	330	231	309	268	642	498	609	496	335	192	261	337	236	238	525	529	595	1013	183
MSTRG.178	Mito	45414	45880	+	467	20	15	12	13	26	26	18	17	27	36	34	40	21	29	8	22	26	14	13	60	44	55	103	12
MSTRG.179	Mito	50329	50833	+	505	9	5	12	7	16	15	16	24	18	38	38	33	39	22	7	12	23	19	13	24	24	31	60	9
MSTRG.180	Mito	53119	53969	-	851	3	1	2	1	3	12	2	3	4	17	11	10	12	10	9	4	2	4	6	11	14	9	29	1
MSTRG.181	Mito	56522	56842	+	321	10	5	11	6	12	10	10	9	7	27	27	30	30	8	4	14	13	8	3	17	17	27	54	3
MSTRG.182	Mito	62457	63028	+	572	4	8	9	9	16	12	6	17	7	22	22	14	13	15	7	8	11	9	12	15	22	21.50	47	6
MSTRG.183	Mito	66785	67009	+	225	3	5	4	3	6.50	8	9	12	9	20	28	14	18	17	2	6	8	7	3	11	10	12	28	0
MSTRG.184	Mito	69846	70117	-	272	4	3	3	3	7	9	6	9	14	17	18	13	20	13	2	12	9	11	3	14	7	8	33	3
MSTRG.185	Mito	71084	71388	+	305	16	16	13	18	46	28	22	51	28	107	100	91	89	60	10	46	56	32	17	45	36	70	152	18
MSTRG.186	Mito	73070	73362	+	293	3	6	9	10	25	16	22	14	23	35	28	31	28	19	11	26	16	13	9.50	15	23	27	42	6
MSTRG.187	Mito	76757	77140	-	384	1	0	5	1	3	3	1	2	1	7	3	2	8	2	0	6	2	3	2	3	7	7	17	1
MSTRG.188	Mito	77430	78083	-	654	19	21	25	15	48	26	18	26	23	69	69	43	51	24	12	23	19	23	18	57	56	80	138	19
MSTRG.189	Mito	80289	80710	+	422	29	46	31	17	43	40	41	31.50	28	99	112	109	111	43	26	67	69	57	32	78	61	152	255	17
MSTRG.190	Mito	81316	81604	+	289	4	7	3	4	6	0	2	3	3	8	6	0	3	1	6	4	2	2	3	4	11	17	24	4
MSTRG.191	V	7763	8153	+	391	4	11	10	3	14	8	2	5	10	19	28	18	21	15	7	19	13	14	9	11	10	15	20	4
MSTRG.192	V	8316	13341	-	5026	97	74	137	79	226	142	106	135	119	242	176	238	165	182	75	210	226	156	95	185	157	208	283	61
MSTRG.193	V	14605	16274	-	1670	33	23	48	26	63	37	25	45	34	73	80	85	70	38	20	46	68	35	25.50	78	47	70	59	18
MSTRG.194	V	21414	25498	+	4085	242	155	226	226	586	274	183	229	210.50	559	499	506	448	338	170	303	400	210	212	657	659	629	951	173
MSTRG.195	V	33815	34367	-	553	16	10	24	21	41	27	27	17	22	50	53	41	38	28	19	42	22	26	20	33	20	44	50	15
MSTRG.196	V	46058	46888	-	831	10	9	18	8	29	24	15	20	16	83	45	80	61	31	19	21	38	10	16	64	52	64	105	7
MSTRG.197	V	69294	69528	+	235	2	3	7	4	5	7	7	4	11	13	3	5	5	1	6	19	0	13	12	2	8	3	3	1
MSTRG.198	V	75658	77587	-	1930	82	104	133	59	161	104	134	93	176	91	97	93	87	125	112	182	137	126	123	70	47	98	94	58
MSTRG.199	V	99685	100037	+	353	19	14	15	9	30	19	11	23	21	37	27	27	17	27	9	13	33	19	9	46	21	23	14	15
MSTRG.200	V	108058	108472	+	415	315	487	755	250	625	570	628	770.50	823.50	1220	1281	1122	1106	858	495	1028	970	858	496.50	628	371	955	1166	320
MSTRG.201	V	110588	111077	-	490	36	29	43	23	49	36	35	39	46	58	70	73	53	47	28	38	60	48	26	89	39	50	77	21
MSTRG.202	V	131201	131484	+	284	4	9	9	1	14	2	3	5	7	5	5	7	4	3	3	12	5	3	6	9	4	9	4	2
MSTRG.203	V	152607	153212	+	606	3	12	13	5	10	3	22	6.50	33	7	12	8	11	3	24	14	8	14	19.50	6	6	12	21	3
MSTRG.204	V	155928	156513	-	586	7	4	7	11	23	15	8	11	5	15	10	9	6	10	5	12	5	8	9	16	21	13	12	2
MSTRG.205	V	173547	173813	+	267	6	2	3	9	21	3	2	6	7	10	4	7	5	7	4	5	4	3	10	16	10	9	18	2
MSTRG.206	V	177156	177634	-	479	16	12	19	12	42	27	17	28	31	41	41	52	28	35	17	26	30	25	20	25	26	34	33	12
MSTRG.207	V	186884	188247	-	1364	69	61	106	82	229	111	152	99	195	113	99	88	78	109	176	147	118	103	187	93	85	82	88	50
MSTRG.208	V	238385	238915	+	531	5	7	6	1	9	6	8	7	7	24	20	22	18	18	5	8	8	13	5	22	17	9	7	6
MSTRG.209	V	241850	242949	-	1100	9	15	31	5	30	17	29	10	52	19	14	16	23	10	23	51	19	31	31	22	5	17	13	4
MSTRG.210	V	258386	259185	.	800	390	226	348	327	773	597	521	661	711	1025	852	984	828	770	335	602	687	532	365.50	701	553	545	766	264
MSTRG.211	V	261539	261781	-	243	3	2	5	3	8	9	5	10	0	20	23	21	19	17	4	12	12	9	5	16	6	8	18	7
MSTRG.212	V	264123	264471	+	349	6	9	2	5	9	6	6	11	13	26	25	18	20	16	5	6	13	8	11	17	20	25	39	3
MSTRG.213	V	268416	268829	-	414	16	10	17	11	38	27	10	18	14	37	18	28	23	25	14	20	24	16	13	38	18	19	20	7
MSTRG.214	V	271161	271633	+	473	20	14	24	8	33	17	10	15	21	27	26	17	22	22	11	16	27	18	8	23	15	33	32	7
MSTRG.215	V	284385	284742	-	358	9	5	18	3	5	6	6	2	7	9	10	5	11	6	5	16	9	14	9	5	6	11	5	3
MSTRG.216	V	287138	287595	+	458	15	7	8	6	18	12	4	18	10	38	51	29	53	22	2	18	32	12	4	28	20	28	52	9
MSTRG.217	V	288597	290176	-	1580	79	41	38	44	97	75	43	95	83	112	67	136	60	99	34	55	110	45	29	103	75	54	54	32
MSTRG.218	V	290973	291521	-	549	9	7	7	11	18	10	12	12	15	20	12	18	11	14	10	12	18	12	11	17	15	9	14	3
MSTRG.219	V	313708	314400	-	693	12	34	52	24	32	22	49	28	62	53	44	53	37	36	37	51	39	52	44	32	23	25	41	16
MSTRG.220	V	332889	333104	+	216	1	0	3	1	6	4	1	4	6	7	2	7	4	0	1	3	5	4	1	6	3	6	1	0
MSTRG.221	V	353738	354057	+	320	1	3	7	2	11	4	5	6	11	7	16	5	5	8	7	7	6	10	14	6	0	11	10	1
MSTRG.222	V	361902	362194	-	293	3	5	8	2	15	6	9	3	10	11	12	12	6	11	6	19	7	8	8	14	9	17	15	4
MSTRG.223	V	363910	364252	-	343	9	5	8	5	12	10	12	10	11	8	8	16	17	18	5	18	9	9	6	8	9	10	5	4
MSTRG.224	V	374817	378051	-	3235	407	256	377	401	970	519	276	516	336	894	772	797	664	621	317	480	740	387	302	949	803	970	1179	299
MSTRG.225	V	416773	417182	+	410	122	96	141	135	286	208	142	180	210	300	235	326	219	224	103	200	238	156	150	252	247	224	341	81
MSTRG.226	V	422991	423920	+	930	34	21	37	31	81	52	35	70	34	74	58	67	56	39	27	50	57	41	23	66	50	44	67	22
MSTRG.227	V	437913	438617	+	705	10	3	15	5	28	22	19	23	17	46	25	33	38	35	8	32	36	24	7	24	14	8	24	4
MSTRG.228	V	483259	483864	+	606	51	54	90	24	68	62	173	80	239	18	11	30	22	89	104	160	116	123	141	10	7	17	20	29
MSTRG.229	V	488243	488519	-	277	2	12	12	3	16	7	19	9	8	10	12	6	12	7	3	4	6	4	13	14	12	23	17	7
MSTRG.230	V	490683	491412	+	730	33	26	35	24	43	37	27	45.50	30	77	80	52	64	53	19	55	44	54	13	37	42	64	102	20
MSTRG.231	V	500615	501515	+	901	13	17	26	9	26	18	23	18	24	47	43	54	44	20	19	52	23	28	19	24	18	39	30	9
MSTRG.232	V	504004	504854	+	851	298	221	303	161	443	392	281	375.50	341	589	418	518	404	499	153	458	552	289	215	361	263	317	389	206
MSTRG.233	V	548091	549434	-	1344	134	45	65	98	218	114	73	110	86	143	98	140	108	146	58	106	192	91	61	177	138	107	148	103
MSTRG.234	V	562961	563348	+	388	1	3	2	6	11	8	7	5	9	15	18	17	19	6	5	12	15	3	1	8	7	6	11	3
MSTRG.235	V	564631	566946	-	2316	77	383	637	23	86	48	310	50	438	80	83	60	53	108	313	613	86	568	362	87	62	65	84	40
MSTRG.236	V	567163	567623	-	461	7	1	1	2	11	4	6	9	4	25	9	14	9	9	1	3	18	0	2	5	12	7	10	4
MSTRG.237	V	570614	570917	+	304	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	1	0
MSTRG.238	VI	4	1436	-	1433	227	153	245	89	352	166	257	263	179	537	496	426	444	353	167	359	223	191	247	403	811	409	1152	138
MSTRG.239	VI	2143	4980	+	2838	51	32	51	11	70	24	44	57	22.50	121	113	87	89	89	22	56	65	40	15	64	121	83	251	28
MSTRG.240	VI	5872	6180	-	309	0	1	3	0	1	1	1	1	1	3	6	4	1	3	1	2	0	3	0	1	7	10	25	0
MSTRG.241	VI	16062	16274	-	213	35	23	29	28	52	52	34	57	44	70	72	86	54	57	28	48	56	34	35	60	60	60	92	19
MSTRG.242	VI	19055	20556	+	1502	19	19	47	14	36	21	77	25	147	55	54	42	54	32	118	73	31	54	135	35	41	59	73	14
MSTRG.243	VI	23364	27901	-	4538	224	426.50	618	265	645	350	574	384	886	852.50	820	706	739	502	615	1020	479	848	677	579	674	853	1457	186
MSTRG.244	VI	28408	28921	-	514	7	8	4	8	19	14	17	24	19	65	39	66	42	37	6	12	29	7	11	24	15	43	58	14
MSTRG.245	VI	29756	31220	+	1465	34	60	91	34	78	65	92	57	158.50	123	106	116	90	77	111	142	81	170	115	85	114	118	248	21
MSTRG.246	VI	31498	32868	+	1371	15	28	31	21	28	17	29	20	44	30	52	41	28	22	49	41	16	47	41	33	30	48	101	9
MSTRG.247	VI	36193	36581	-	389	45	58	86	42	109	67	88	64	128	96	98	86	91	62	82	110	77	94	82	88	92	116	137	26
MSTRG.248	VI	51464	52959	-	1496	77	70	90	53	113	86	98	91	132	215	198	227	175	116	82	158	149	110	70	171	116	238	207	56
MSTRG.249	VI	55005	55332	.	328	543	484.50	668	490	1146	674	536	617	642	1082.50	881	1084	860	745	567	801.50	924	571	612	1133	892	890	1024	414
MSTRG.250	VI	76223	76563	+	341	620	621	944	501	1246	865	803	828	1003	1441	1183	1279	1093	1189	765	1398.50	1090	1215	834	1005	1013	985	1180	429
MSTRG.251	VI	83926	84207	+	282	272	243	374	297	633	352	295	337	312	148	108	116	109	351	294	413	400	313	286.50	111	109	83	89	185
MSTRG.252	VI	97628	97966	-	339	28	13	13	15	52	19	32	16	40	22	25	23	25	23	34	18	38	13	43	28	15	25	23	13
MSTRG.253	VI	98241	98951	+	711	6	5	11	2	21	8	6	9	11	27	30	23	22	9	13	13	10	13	6	25	14	23	42	1
MSTRG.254	VI	110189	110506	+	318	24	31	41	23	65	38	29	41	28	53	37	61	41	32	28	45	33	26	36	61	59	59	49	21
MSTRG.255	VI	110509	111953	-	1445	16	12	25	15	46	22	15	16	16	35	29	35	35	31	14	32	40	17	20	32	28	32	52	8
MSTRG.256	VI	114131	114592	-	462	7	18	32	3	7	4	28	4	34	10	13	18	26	8	16	37	5	30	23	9	6	16	13	1
MSTRG.257	VI	193494	193834	+	341	13	8	12	10	16	11	7	10	10	16	19	16	11	11	11	19	34	8	9	19	15	16	21	9
MSTRG.258	VI	245543	245972	-	430	1	4	5	3	6	9	4	7	5	9	9	13	13	14	1	13	11	7	6	7	2	13	9	6
MSTRG.259	VI	251933	252268	-	336	9	6	6	3	9	3	5	5	1	12	11	6	10	5	5	7	3	8	5	7	15	12	15	6
MSTRG.260	VI	255808	256079	+	272	6	14	9	4	10	9	10	5	8	17	11	14	10	15	6	10	9	13	10	13	11	12	9	3
MSTRG.261	VI	256175	257222	+	1048	3	3	10	3	16	5	9	9	15	15	11	18	9	9	11	10	11	9	10	13	13	12	5	2
MSTRG.262	VI	261712	263948	-	2237	109	114	183	71	215	150	118	150	152	252	197	253	171	180	116	214	167	165	102	211	136	163	176	75
MSTRG.263	VI	265248	265614	+	367	133	42	72	112	356	191	64	186	69	323	220	281	252	296	27.50	116	206	76	39	276	275	235	219	110
MSTRG.264	VI	266303	268759	+	2457	36	27	55	16	53	36	51	43	68	94	98	119	90	61	45.50	97	49	55	49.50	75	86	108	134	16
MSTRG.265	VII	368	573	+	206	0	0	0	1	0	0	0	0	0	1	2	0	2	1	0	1	0	0	1	3	2	3	7	1
MSTRG.266	VII	10183	10921	+	739	17	7	9	19	40	35	6	23	14	46	24	48	16	22	10	10	30	10	11	51	42	41	51	11
MSTRG.267	VII	19674	19925	-	252	4	5	1	1	5	6	1	3	2	2	4	7	6	4	1	5	4	0	0	4	6	2	2	1
MSTRG.268	VII	27896	30173	+	2278	46	43	101	33	76	56	58	57	94	106	85	111	88	67	77	101	78	87	87	83	69	106	127	27
MSTRG.269	VII	63781	63996	+	216	9	6	10	5	15	8	4	6	16	10	12	21	16	11	9	13	6	7	10	15	13	13	15	5
MSTRG.270	VII	73939	74811	-	873	9	15	12	11	34	18	10	19	15	29	18	22	19	20	9	26	23	23	9	22	17	25	22	7
MSTRG.271	VII	89646	89978	+	333	12	2	2	9	14	40	28	37	25	45	39	71	37	42	2	28	56	19	9	27	13	10	14	6
MSTRG.272	VII	94470	95684	-	1215	21	24	57	18	46	28	49	36	81	76	59	58	63	36	49	78	48	45	74	53	37	80	71	19
MSTRG.273	VII	150526	150653	-	128	46	98	115	55	154	128	118	140	127	234	239	239	227	186	97	226	185	170	91	117	71	127	154	60
MSTRG.274	VII	154201	154402	+	202	8	20	17	5	12	8	7	15	15	19	25	14	19	15	13	19	9	19	11	13	12	10	8	4
MSTRG.275	VII	156821	157049	+	229	0	0	0	0	1	1	0	3	1	3	1	12	1	2	0	2	4	1	0	4	0	0	2	1
MSTRG.276	VII	159106	159677	-	572	6	17	17	7	25	20	21	9	28	25	21	27	19	19	19	30	23	23	24	17	10	15	24	1
MSTRG.277	VII	165144	166543	-	1400	43	61	87	28	87	60	99	57	122	131	138	124	139	84	78	120	99	102	102	66	60	126	130	25
MSTRG.278	VII	190581	190888	-	308	663	511	802	514	1253	991	732	907	883	1374	1168	1440	1140	1108	591	995	1239	868	675	1241	997	1205	1492	480
MSTRG.279	VII	193482	193685	+	204	4	0	3	1	3	3	7	5	6	9	1	10	7	4	2	3	6	4	2	2	0	0	0	2
MSTRG.280	VII	197595	197981	-	387	6	12	20	14	33	12	13	14	19	11	13	18	13	15	15	18	21	17	18	17	13	13	17	3
MSTRG.281	VII	272595	272809	-	215	11	9	9	6	36	17	20	12	28	16	7	10	3	18	28	13	18	12	22	17	8	10	6	7
MSTRG.282	VII	323350	325052	-	1703	23	52	64	18	67	34	68	42	85	60	60	53	50	36	64	59	36	51	96	44	31	77	88	20
MSTRG.283	VII	326260	326618	+	359	38	15	34	32	91	88	199	71	195	110	81	111	68	91	117	68	101	46	111	65	36	54	82	21
MSTRG.284	VII	344731	345257	+	527	14	10	19	5	36	8	9	16	16	35	27	24	28	19	13	20	19	10	18	30	31	31	46	13
MSTRG.285	VII	345291	345733	-	443	8	4	12	3	16	7	11	13	6	13	16	14	8	9	11	15	19	14	14	9	8	12	11	7
MSTRG.286	VII	412970	413199	-	230	2	6	6	4	9	6	3	6	2	12	12	4	4	6	4	8	5	5	6	9	5	8	7	5
MSTRG.287	VII	420927	421385	+	459	2	7	8	4	6	4	4	2	3	7	8	9	7	6	4	25	4	16	3	3	4	13	4	0
MSTRG.288	VII	422090	422918	+	829	18	19	31	9	46	36	31	28	73	31	13	28	27	21	29	36	39	30	29	17	14	18	19	9
MSTRG.289	VII	433064	435125	+	2062	85	104	135	77	191	151	177	140	197	194	209	167	201	163	149	194	198	191	163	148	127	240	280	57
MSTRG.290	VII	483270	485096	-	1827	48	51	59	29	97	73	75	83	62	109	95	99	86	75	40	92	109	70	60	55	53	71	83	32
MSTRG.291	VII	523007	523573	-	567	22	15	24	31	49	37	13	36	9	53	39	43	32	43	14	24	35	19	8	49	42	49	50	13
MSTRG.292	VII	524833	525209	-	377	7	4	1	3	12	3	4	5	6	17	5	16	7	8	7	8	6	5	10	15	9	11	12	2
MSTRG.293	VII	531305	531504	-	200	12	4	8	7	34	23	9	29	14	31	26	23	20	27	6	14	34	11	8	18	17	19	20	9
MSTRG.294	VII	577488	579324	-	1837	85	86	147	73	199	114	124	140	183	185	181	150	161	131	126	168	148	145	161	156	160	190	297	65
MSTRG.295	VII	581918	582847	+	930	20	86	74	18	37	23	38	38	30	48	38	52	27	31	35	43	31	42	37	33	24	34	30	5
MSTRG.296	VII	609196	609521	-	326	1	5	17	2	10	6	10	1	10	6	7	6	7	2	12	21	7	10	7	10	5	13	8	2
MSTRG.297	VII	620084	621775	+	1692	43	35	52	40	106	85	92	72	113	142	133	121	126	111	42	135	158	100	67	96	64	104	138	23.50
MSTRG.298	VII	659896	661673	-	1778	5	16	15	12	18	26	32	22	53	40	27	37	21	32	28	45	1060	451	38	12	7	20	16	4
MSTRG.299	VII	677566	678350	-	785	8	27.50	56	11	21	8	33	8	21	26	33	18	25	18	28	36	17	40	41	17	17	37	42	5
MSTRG.300	VII	700091	700433	+	343	4	3	4	3	6	4	5	5	10	8	4	9	3	8	4	4	2	3	1	5	4	8	6	2
MSTRG.301	VII	702140	702653	+	514	6	12	31	6	16	12	29	12	44	8	11	7	4	9	16	24	6	17	33	11	4	9	7	2
MSTRG.302	VII	715283	715800	-	518	4	8	11	4	18	11	6	6	9	15	10	18	18	13	5	11	8	10	4	15	11	18	18	5
MSTRG.303	VII	731350	733147	+	1798	313	177	373	242	663	361	282	337	379	662	634	649	598	510	306	483	572	372	366	581	545	715	917	246
MSTRG.304	VII	733278	733533	-	256	10	1	5	6	18	5	6	12	17	24	21	18	17	13	9	17	11	16	17	9	8	13	8	1
MSTRG.305	VII	738446	739056	+	611	18	14	20	14	33	19	11	17	9	33	16	20	13	14	6	10	29	15	10	28	18	28	29	5
MSTRG.306	VII	741709	742103	.	395	77	98	138	110	327	209	198	216	231	467	355	361	340	280	109	230	244	182	129	309	251.50	283	337	99
MSTRG.307	VII	754091	754625	-	535	5	14	23	4	18	18	15	17	19	20	25	23	29	11	13	36	11	35	14	18	18	28	32	3
MSTRG.308	VII	765936	767040	-	1105	25	29	38	11	50	35	31	35	63	65	40	43	42	47	35	59	41	54	35	39	35	37	47	16
MSTRG.309	VII	774449	774826	-	378	2	5	5	2	3	1	1	3	1	7	10	14	9	5	0	9	7	5	5	14	1	12	19	1
MSTRG.310	VII	778290	778521	+	232	36	33	31	32	57	50	41	48	37	60	49	62	38	45	37	29	49	29	27	67	44	53	52	14
MSTRG.311	VII	779830	780119	+	290	9	8	5	0	11	3	7	8	12	17	24	12	20	7	6	19	11	19	3	8	7	19	17	7
MSTRG.312	VII	788426	788963	-	538	22	21	50	16	45	22	47	9	43	24	23	22	23	11	22	32	19	33	54	19	20	40	47	10
MSTRG.313	VII	810584	811120	-	537	101	89	134	85	245	191	647	193	762	94	41	69	39	168	369	363	193	207	398	71	23	19	11	53
MSTRG.314	VII	836112	836381	-	270	12	8	11	24	53	33	22	22	32	40	37	34	16	25	19	26	23	12	15	36	33	28	25	14
MSTRG.315	VII	875400	875933	-	534	2	138.50	7	141	2	295	13	8	299	262	221	7	20	320	150	425	2	7	2	205	1	162	5	110
MSTRG.316	VII	878412	880037	+	1626	127	60	169	9	262	16	121	194	54	19	15	158	92	22	28	140	251	174	123	7	115.50	10	74	8
MSTRG.317	VII	894219	894501	-	283	9	12	14	6	21	18	20	11	20	38	29	30	22	19	15	32	16	30	8	17	19	23	30	2
MSTRG.318	VII	942597	944894	-	2298	94	132	208	132	290	136	212	163	293	260	272	255	229	217	209	298	236	232	247	220	205	310	427	61
MSTRG.319	VII	958553	959534	-	982	46	30	49	29	78	65	60	62	86	131	110	121	108	84	48	74	72	49	77	83	62	101	88	38
MSTRG.320	VII	968826	969184	+	359	66	61	87	46	107	78	64	50	81	82	80	80	78	57	82	68	103	58	87	93	74	86	113	42
MSTRG.321	VII	973826	974870	+	1045	99	131	175	83	272	143	296	139	398	160	154	163	130	136	407	202	155	173	411	145	133	158	133	51
MSTRG.322	VII	990103	990842	+	740	8	4	13	3	16	17	24	14	27	41	20	38.50	22	29	19	21	13	7	16	11	9	17	31	3
MSTRG.323	VII	993787	994060	-	274	8	8	8	3	26	14	9	6	7	18	8	23	7	11	1	10	10	9	4	17	16	9	7	3
MSTRG.324	VII	994228	995316	+	1089	37	47	71	38	108	76	68	83	86	145	119	144.50	104	115	39	109	124	77	56	75	59	71	75	40
MSTRG.325	VII	996280	996574	+	295	84	84	136	107	285	135	118	150	132	173	161	172	131	161	115	147	156	106	119	160	141	148	172	68
MSTRG.326	VII	999515	1000471	-	957	14	9	15	4	35	20	6	15	15	27	20	35	25	19	7	14	23	15	8	27	14	16	23	15
MSTRG.327	VII	1052389	1052725	-	337	1	2	2	0	4	2	4	11	3	5	11	6	9	1	0	4	5	2	0	3	3	5	7	0
MSTRG.328	VII	1066064	1067190	+	1127	16	15	36	12	44	25	24	27	35	67	60	54	49	47	29	50	42	23	21	41	36	31	46	14
MSTRG.329	VII	1069749	1069988	-	240	1	6	1	0	2	0	6	1	3	2	1	3	1	1	2	2	3	0	1	1	8	2	1	0
MSTRG.330	VII	1072341	1072553	-	213	0	1	0	0	2	5	16	4	18	1	3	1	1	2	3	4	1	1	9	1	0	0	0	0
MSTRG.331	VII	1072641	1073172	+	532	8	5	14	8	18	10	13	11	14	26	22	20	24	9	17	11	12	17	12	15	22	24	38	2
MSTRG.332	VII	1078615	1080055	+	1441	66	162	304	86	189	87	148	90	183	129	126	125	107	102	135	260	106	197	160	117	107	145	189	49
MSTRG.333	VII	1080754	1081341	-	588	22	8	13	12	54	29	14	34	12	49	34	46	20	35	15	27	35	9	14	50	43	41	58	10
MSTRG.334	VII	1082872	1088869	+	5998	17	68	127	26	50	25	90	29	130	46	78	47	59	24	105	160	31	129	115	31	39	55	101	13.50
MSTRG.335	VIII	10630	11659	-	1030	21	12	29	16	42	22	25	27	39	61	54	58	60	37	28	54	41	41	34	45	46	52	84	12
MSTRG.336	VIII	12837	13356	-	520	3	1	1	2	13	7	3	13	3	24	22	26	26	25	0	5	15	7	3	12	4	13	20	3
